id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,87,1,'Travis Scott','0Y5tJX1MQlPlqiwlOH1tJY',0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4,313.0
0siYMEsGrzzzlWLXK5zJfS,BED,87,0,"'Joel Corry', 'RAYE', 'David Guetta'","'6DgP9otnZw5z6daOntINxp', '5KKpBU5eC2tJDzf0wmlRp2', '1Cs0zKBU1kc0i8ypK3B9ai'",0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,4,178.0
1ZMiCix7XSAbfAJlEZWMCp,Falling,87,0,'Harry Styles','6KImCVD70vtIoJWnq6nGn3',0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4,240.0
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,87,1,'Travis Scott','0Y5tJX1MQlPlqiwlOH1tJY',0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,176.0
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),87,0,"'Justin Bieber', 'Chance the Rapper'","'1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf'",0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4,212.0
55Am8neGJkdj2ADaM3aw5H,Train Wreck,87,0,'James Arthur','4IWBUUAFIplrNtaOHcJPRM',0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,4,209.0
3ee8Jmje8o58CHK66QrVC2,SAD!,87,1,'XXXTENTACION','15UsOTVnJzReFVN1VCnxy4',0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4,167.0
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,87,1,'Juice WRLD','4MCBfE4596Uoi2O4DtmEMz',0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4,166.0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,87,0,'Ed Sheeran','6eUKZXaKkcviH0Ku9w2n3V',0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,234.0
6Hj9jySrnFppAI0sEMCZpJ,Robbery,87,1,'Juice WRLD','4MCBfE4596Uoi2O4DtmEMz',0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,5,240.0
0tgVpDi06FyKpA1z0VMD4v,Perfect,87,0,'Ed Sheeran','6eUKZXaKkcviH0Ku9w2n3V',0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,263.0
2tnVG71enUj33Ic2nFN6kZ,Ride It,87,0,'Regard','4ofCBoyEiGSePFAG500xev',0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,158.0
7fBv7CLKzipRk6EC6TWHOB,The Hills,87,1,'The Weeknd','1Xyo4u8uXC1ZmMpatF05PJ',0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,4,242.0
02kDW379Yfd5PzW5A6vuGt,Lemonade,87,1,"'Internet Money', 'Gunna', 'Don Toliver', 'NAV'","'6MPCFvOQv5cIGfw3jODMF0', '2hlmm7s2ICUX0LVIhVFlZQ', '4Gso3d4CscCijv0lmajZWs', '7rkW85dBwwrJtlHRDkJDAC'",0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,4,195.0
2U5WueTLIK5WJLD7mvDODv,Wishing Well,87,1,'Juice WRLD','4MCBfE4596Uoi2O4DtmEMz',0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,4,195.0
2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,87,0,"'Wisin', 'Myke Towers', 'Los Legendarios'","'3E6xrwgnVfYCrCs0ePERDz', '7iK8PXO48WeuP03g8YR51W', '0n6sKrG0xKAf8xmdqeNGke'",0.823,0.821,8,-3.402,0,0.166,0.31,4.28e-06,0.143,0.791,99.999,4,213.0
2ePtv8MlBO9nuuXABqAfEX,SugarCrash!,87,1,'ElyOtto','4b19vuzlDcNdU4quI7L6sW',0.748,0.734,0,-6.499,1,0.124,0.524,1.15e-05,0.0975,0.368,97.753,4,80.0
4y4spB9m0Q6026KfkAvy9Q,Lonely (with benny blanco),87,1,"'Justin Bieber', 'benny blanco'","'1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa'",0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,4,149.0
